Link,Text,Date,Comments,Likes,Retweets
https://twitter.com/CyndianaSports/status/1753258344960106776#m,Ahhh shit. The Guardians of the Galaxy have arrived y’all,"Feb 2, 2024 · 3:25 AM UTC",6,23,2
https://twitter.com/AdrianTanasa5/status/1753299038085001716#m,Guardians of the Galaxy and How to Train Your Dragon,"Feb 2, 2024 · 6:07 AM UTC",0,0,0
https://twitter.com/Murphs51/status/1753298121998684661#m,Was it the raccoon from Guardians of the Galaxy...?🙄,"Feb 2, 2024 · 6:03 AM UTC",0,0,0
https://twitter.com/kingbchalla/status/1753102655747186704#m,"I have no way of proving this, but it seems though the writer(s) of Suicide Squad: Kill the Justice League took a lot of ""inspiration"" from the Guardians of the Galaxy.....","Feb 1, 2024 · 5:06 PM UTC",3,22,6
https://twitter.com/stefceretti/status/1753272576539767255#m,Watch this fun and cool #FYC Q&A we just did with the awesome Chris Pratt to discuss the #VFX of Guardians of the Galaxy Vol 3. With my co-nominees from @Framestore @WetaFXofficial and @imageworksvfx !!! Hope you enjoy ! Retweet ! Share !   https://debut.disney.com/fyc/twds/movie/guardians-of-the-galaxy-vol-3-1683651502684?tab=extras,"Feb 2, 2024 · 4:22 AM UTC",1,12,3
https://twitter.com/tearatwt/status/1753294448744866266#m,barbie oppenheimer godzilla minus one the holdovers spider-man: across the spider-verse bottoms guardians of the galaxy vol. 3  havent seen the rest,"Feb 2, 2024 · 5:49 AM UTC",0,1,0
https://twitter.com/tvflam/status/1697207096071098782#m,افضل 10 افلام اكشن تقيمات عاليه حسب الذكاء الاصطناعي CHATGPT 🔥😍  1-فيلم The Dark Knight 2-فيلم The Matrix 3-فيلم John Wick 4-فيلم Mad Max: Fury Road 5-فيلم Interstellar 6-فيلم Guardians of the Galaxy 7-فيلم What We Do in the Shadows 8-فيلم Madagascar 9-فيلم Ong-Bak: Muay Thai Warrior 10-فيلم The Bourne Identity,"Aug 31, 2023 · 11:17 AM UTC",11,727,61
https://twitter.com/theAmerican2030/status/1753294381170430286#m,Thought this was guardians of the galaxy right b4 the drop 🥸,"Feb 2, 2024 · 5:48 AM UTC",0,0,0
https://twitter.com/LSaddler13/status/1753293974624694596#m,Oh yeah it’s his run that loosely served as the foundation for the Guardians of the Galaxy,"Feb 2, 2024 · 5:47 AM UTC",0,1,0
https://twitter.com/TinfoilTricorn/status/1753290785770831948#m,With all the stuff the keeps crashing and exploding I would guess the Guardians of the Galaxy have arrived on earth.,"Feb 2, 2024 · 5:34 AM UTC",1,2,2
https://twitter.com/CBMshots/status/1753005572532899872#m,Guardians of the Galaxy: Vol. 3,"Feb 1, 2024 · 10:41 AM UTC",25,3033,235
https://twitter.com/zestylime/status/1753291223840776661#m,Anyway if you could pick a song for Guardians of the Galaxy Cosmic Rewind what would you pick i think Pressure,"Feb 2, 2024 · 5:36 AM UTC",0,0,0
https://twitter.com/DanKeeling7/status/1753288791551615142#m,"Guardians of the Galaxy 1, 2 and 3","Feb 2, 2024 · 5:26 AM UTC",0,0,0
https://twitter.com/SamiTheSalami/status/1753286659821666402#m,MUA3 sneak and I actually decently like that game  Guardians of the Galaxy deserves more recognition,"Feb 2, 2024 · 5:18 AM UTC",0,0,0
https://twitter.com/MrN0b0dyN0where/status/1753284552687313223#m,"Oh easy, The Suicide Squad has one of the best film openings period, full of twists and turns, and Guardians of the Galaxy Vol.3 left me crying like a bitch, so that one takes the cake","Feb 2, 2024 · 5:09 AM UTC",0,2,0
https://twitter.com/whoisspencer1/status/1753282168741298475#m,"I never understood the praise for the Guardians of the Galaxy game. The dialogue was really stiff and unnatural, writing was cringe, and the gameplay was very simple and easy even on Hard. The combat was easily some of the worst I’d experienced in a AAA game that year.","Feb 2, 2024 · 5:00 AM UTC",0,0,0
https://twitter.com/ervininjustice/status/1753280613233148045#m,"He is a big fan of Giffen and DeMatteis comics, even Guardians of the Galaxy is based on Giffen comics. Creature Commandos is DeMatteis too. I really like that run of Justice League, but, Gunn is also a Morrison fan so, we could get JLA. Who knows ?","Feb 2, 2024 · 4:54 AM UTC",0,0,0
https://twitter.com/TrenzetterGang/status/1753279251099312385#m,They can it just don’t need to be live service or a shooter looter.  If anything build it like guardians of the galaxy OR ULTIMATE ALLIANCE,"Feb 2, 2024 · 4:48 AM UTC",0,0,0
https://twitter.com/eLiy_No7/status/1753043482615357516#m,Guardians of the Galaxy vol.3/マンティス   #原作の隣に自分のコスを貼る,"Feb 1, 2024 · 1:11 PM UTC",1,300,30
https://twitter.com/Tasm_3614/status/1753270036129608011#m,Every super hero game that I’ve played ranked from best to worst.  1.Arkham Knight 2.Marvel Spider-Man  3.Arkham City 4.Arkham Asylum  5.Marvel Spider-Man 2 6.Marvel Spider-Man Miles Morales 7.Guardians of the Galaxy  8.Gotham Knights 9.Suicide Squad Kill the Justice League,"Feb 2, 2024 · 4:12 AM UTC",5,9,2
https://twitter.com/Fps_Dropkick/status/1753272344523517963#m,This was valid until i seen ultimate alliance 3…swap that for the Guardians of the Galaxy game and you got it!,"Feb 2, 2024 · 4:21 AM UTC",1,37,1
https://twitter.com/EliGrande732846/status/1753266588516823477#m,I thought No Sleep till Brooklyn worked much better in Guardians of the Galaxy Volume 3.,"Feb 2, 2024 · 3:58 AM UTC",0,3,0
https://twitter.com/MichaelSacal/status/1753265168883077364#m,"James Gunn was the wrong director for Guardians of the Galaxy and Suicide Squad, but his style of humor would have been perfect for Deadpool.","Feb 2, 2024 · 3:52 AM UTC",2,2,2
https://twitter.com/Dalec1Dale/status/1753265350932832347#m,Guardians of the galaxy are finally on site to fix the Liberal wasteland,"Feb 2, 2024 · 3:53 AM UTC",0,0,0
https://twitter.com/vaypor61182/status/1753264556338503957#m,I went for the first time in January. The Guardians of the Galaxy ride is a game changer. Best ride I have ever been on,"Feb 2, 2024 · 3:50 AM UTC",0,3,0
https://twitter.com/BlackMajikMan90/status/1753075491702202609#m,Guardians of the Galaxy Vol 3 is the MCU’s best film.,"Feb 1, 2024 · 3:19 PM UTC",62,301,24
https://twitter.com/askkennedy/status/1753263100634280262#m,Domestic Box Office For 2023  1 Barbie  2 The Super Mario Bros.  3 Spider-Man: Across the Spider-Verse 4 Guardians of the Galaxy Vol. 3 5 Oppenheimer 6 The Little Mermaid 7 Avatar: The Way of Water 8 Ant-Man and the Wasp: Quantumania 9 John Wick: Chapter 4 10 Sound of Freedom,"Feb 2, 2024 · 3:44 AM UTC",0,0,0
https://twitter.com/edgarlopes81/status/1753262242806558949#m,"I started the game Marvel's Guardians of the Galaxy, via @TrueAchievement https://www.trueachievements.com/game/Marvels-Guardians-of-the-Galaxy/achievements?gamerid=669619","Feb 2, 2024 · 3:41 AM UTC",0,1,0
https://twitter.com/BlindedBraille/status/1753261149963915348#m,Guardians of the Galaxy SOLOS Both Gotham Knights and Suicide Squad: KTJL.,"Feb 2, 2024 · 3:36 AM UTC",0,0,0
https://twitter.com/marcuscollar/status/1753260878403875296#m,"Growing up, West Coast Avengers was one of my favorite comics besides Guardians Of the Galaxy (original team).","Feb 2, 2024 · 3:35 AM UTC",0,1,0
https://twitter.com/moreincommonus/status/1753259266012483673#m,The guardians of the galaxy are here! Rocket Raccoon is up to something!,"Feb 2, 2024 · 3:29 AM UTC",0,0,0
https://twitter.com/Jay3onn/status/1753257175080980690#m,guardians of the galaxy 3 got me crying in the club,"Feb 2, 2024 · 3:20 AM UTC",1,2,0
https://twitter.com/The_5th_Turtle/status/1753254933854646425#m,Damn it. I was really hoping that this would open more opportunities for more wrestlers to join the MCU. The entire faction of Judgement Day should just become the new Guardians Of The Galaxy crew.,"Feb 2, 2024 · 3:12 AM UTC",0,0,0
https://twitter.com/LionofPerth/status/1753253575705391305#m,"Only three?   Guardians of the Galaxy series,   Jedi Starfighter, Star Wars  Iron Blooded Orphans, Gundam  4? No idea.","Feb 2, 2024 · 3:06 AM UTC",0,0,0
https://twitter.com/BenMeye08712597/status/1753250672001053051#m,I just found out Francine from American Dad is a big Guardians of the Galaxy fan and now I want her Rocket cup.,"Feb 2, 2024 · 2:55 AM UTC",0,2,0
https://twitter.com/patdubois/status/1753248705422204995#m,the new guardians of the galaxy sounds like a wild ride,"Feb 2, 2024 · 2:47 AM UTC",0,7,0
https://twitter.com/JackieGaming_/status/1753247670871662831#m,Hitting off this month with a playthrough of @Guardians of the Galaxy Video Game!   LIVE NOW ON @Twitch: https://twitch.tv/jackiegaming_,"Feb 2, 2024 · 2:43 AM UTC",0,1,0
https://twitter.com/nodartt1/status/1753247610272383180#m,doing a guardians of the galaxy pop funko puzzle and watching guardians 3 and sobbing the entire time bc self care:),"Feb 2, 2024 · 2:42 AM UTC",0,0,0
https://twitter.com/RebeccaFan14/status/1753245835129770137#m,My 2023 Top Ten  Oppenheimer Poor Things Godzilla Minus One Barbie Spider-Man: Across the Spider-Verse John Wick: Chapter 4 Asteroid City Guardians of the Galaxy Volume 3 Dungeons and Dragons: Honor Among Thieves Talk to Me,"Feb 2, 2024 · 2:35 AM UTC",1,7,0
https://twitter.com/Fama99351895/status/1753245594011767295#m,Avenger Infinity War Iron Man 3 Guardians Of The Galaxy Captain America Civil War Thor Ragnarok  W for having IW and CW also mad respect for Guardians 2 cause I feel like most people don’t love that film as much as it deserves,"Feb 2, 2024 · 2:34 AM UTC",1,1,0
https://twitter.com/SpiderMumHex/status/1751104373457813886#m,Something that Insomniac should implement into their games.   This and Guardians of the Galaxy showcase their costumes the best way it should be done.   Give the characters their own thoughts and explanation on the lore of where the suits came from.,"Jan 27, 2024 · 4:46 AM UTC",2,111,27
https://twitter.com/J__Mruk/status/1753245489946923423#m,Guardians of the Galaxy,"Feb 2, 2024 · 2:34 AM UTC",0,0,0
https://twitter.com/TinfoilTricorn/status/1753240138610508080#m,The last guardians of the galaxy Blrop was originally intended to be a cat but it was changed to a cgi space creature at the last minute.   The treason cited was because Captian Marvel had a cat.   Given the cat 🐈 is supposed to be a species of alien in the series it only  makes sense there would have been a cat with the ravagers.,"Feb 2, 2024 · 2:13 AM UTC",0,1,1
https://twitter.com/TinfoilTricorn/status/1753240004791333274#m,The last guardians of the galaxy Blrop was originally intended to be a cat but it was changed to a cgi space creature at the last minute.   The treason cited was because Captian Marvel had a cat.   Given the cat 🐈 is supposed to be a species of alien in the series it only  makes sense there would have been a cat with the ravagers.,"Feb 2, 2024 · 2:12 AM UTC",0,0,0
https://twitter.com/AADfucksinMI/status/1753238618833813940#m,Ok poser how is it better than any of the avengers movies or guardians of the galaxy or Captain America winter soldier and civil war ?,"Feb 2, 2024 · 2:07 AM UTC",0,0,0
https://twitter.com/Bynx_Plays/status/1753104112294793549#m,"GOT 'EM! This Guardians of the Galaxy list is a fun way to play a handful of cards you probably haven't touched since Pool 2. It's one is the most satisfying decks around, and can still compete in Infinite! Highlights Below 👇👇👇","Feb 1, 2024 · 5:12 PM UTC",5,85,4
https://twitter.com/famousjamous07/status/1753235878498181419#m,We really didn’t deserve a Guardians of the Galaxy game that was this good  Still blown away by how amazing the story was and how well they nailed the team dynamic. One of @EidosMontreal best games period,"Feb 2, 2024 · 1:56 AM UTC",0,0,0
https://twitter.com/lalasolll/status/1753231891514220617#m,زي Guardians of the galaxy ولا احسن ؟,"Feb 2, 2024 · 1:40 AM UTC",0,0,0
https://twitter.com/LuisaBr91179380/status/1753231250452570530#m,Yeah I think they need to dive deeper into what the deaths were like and what people will do to try to survive. For instance in the AOT Rumbling people were shoving a guy out of his car to escape as well Guardians of the Galaxy having a mother and child running from Ego.,"Feb 2, 2024 · 1:37 AM UTC",0,0,0
https://twitter.com/dlea4/status/1753230345867084249#m,First heard this on “Guardians of the Galaxy 2 “ and immediately loved it-made me cry. How did I miss it all these years?!,"Feb 2, 2024 · 1:34 AM UTC",1,1,1
https://twitter.com/CaiChambo/status/1753229366874825182#m,Has James mentioned what runs his Guardians were based on?. Seemed to me his films were heavily inspired by Dan Abnett and Andy Lanning's Guardians Of The Galaxy with James added humor.,"Feb 2, 2024 · 1:30 AM UTC",1,2,0
https://twitter.com/dbapz/status/1753226038526496782#m,Guardians of the Galaxy was a gift. @EidosMontreal made something so special and I REALLY hope we can see them return to this world somehow.,"Feb 2, 2024 · 1:17 AM UTC",0,1,0
https://twitter.com/Smithy_TV/status/1753226006406500488#m,1) Guardians of the Galaxy 3 2) The Suicide Squad 3) Guardians of the Galaxy 4) Guardians of the Galaxy 2,"Feb 2, 2024 · 1:17 AM UTC",1,2,0
https://twitter.com/multiversegifs/status/1752708349114593427#m,Mantis in 'The Guardians of the Galaxy Holiday Special',"Jan 31, 2024 · 3:00 PM UTC",0,322,39
https://twitter.com/theporoisback/status/1753224292601598027#m,The guardians of the galaxy clear,"Feb 2, 2024 · 1:10 AM UTC",0,0,0
https://twitter.com/duck_580/status/1753223984701686077#m,For example mine is Footloose (1984) Guardians of the Galaxy (2014) Back to the Future (1985),"Feb 2, 2024 · 1:09 AM UTC",0,1,0
https://twitter.com/unathurizedname/status/1753223820725440604#m,We live vibin today playing guardians of the galaxy tonight  Kick.com/theblackthor,"Feb 2, 2024 · 1:08 AM UTC",0,0,0
https://twitter.com/Jneigha/status/1753222938117996776#m,Boomerang  Brown Sugar  Guardians of the Galaxy  Jackson’s American Dream,"Feb 2, 2024 · 1:04 AM UTC",0,0,0
https://twitter.com/HotSaucerweight/status/1753220543304651191#m,Best movie trilogy; Guardians of the Galaxy  F* your opinions,"Feb 2, 2024 · 12:55 AM UTC",0,0,0
https://twitter.com/ervininjustice/status/1753217182790558159#m,"And, his Guardians of the Galaxy movies are based on Keith Giffen runs.","Feb 2, 2024 · 12:42 AM UTC",1,2,0
https://twitter.com/laceymichellle/status/1753217131133751632#m,I love the guardians of the galaxy movies sm,"Feb 2, 2024 · 12:41 AM UTC",0,0,0
https://twitter.com/NeonRockstar99/status/1753214998271148070#m,"@adonisinlife  Yana was caged on a ship, when it was stopped by the guardians of the galaxy. She pulled against her chains and yelled, ""hey? Is someone there?! Help me please!!""","Feb 2, 2024 · 12:33 AM UTC",0,0,0
https://twitter.com/MarcuswevansSr/status/1753214801764089981#m,"Why We Need More Black Superheroes On The Big Screen: A casual look at the last year of superhero films reveals that the genre is in desperate need of revitalization. Outside of Guardians of the Galaxy Vol. 3 and Spider-Man: Across the Spider-Verse, it… https://newsone.com/4976992/why-we-need-more-black-superheroes-on-the-big-screen/?utm_source=dlvr.it&utm_medium=twitter","Feb 2, 2024 · 12:32 AM UTC",0,0,0
https://twitter.com/lakepostinging/status/1753214477359571267#m,plug a lil weird (went to pedophile parties) but he chill (made guardians of the galaxy vol. 2),"Feb 2, 2024 · 12:31 AM UTC",0,2,0
https://twitter.com/kurtquistador/status/1753213712645689385#m,1.  Ravager ship from Guardians of the Galaxy  2.  Jedi Interceptor from Star Wars 3.  Will O' The Wisp from Gundam IBO 4.  Gatlantis/Comet Empire from Space Battleship Yamato,"Feb 2, 2024 · 12:28 AM UTC",0,2,0
https://twitter.com/musiclyrikz/status/1753213517090746557#m,"Best Compilation Soundtrack For Visual Media:  ‘AURORA’ ‘Black Panther: Wakanda Forever’ ‘Guardians of the Galaxy, Vol. 3: Awesome Mix, Vol. 3’ ‘Weird: The Al Yankovic Story’  Predicted Winner:  ‘Barbie The Album’","Feb 2, 2024 · 12:27 AM UTC",1,1,0
https://twitter.com/SGCspeaks/status/1753212358246162588#m,The Suicide Squad Guardians of the Galaxy Vol.2 Guardians of the Galaxy Vol. 3 Guardians of the Galaxy Vol.1,"Feb 2, 2024 · 12:22 AM UTC",0,0,0
https://twitter.com/ColiseumofComic/status/1753211916082708667#m,"Come meet Spencer Wilding from films like Harry Potter, Rogue One, Guardians of the Galaxy, Hitchhikers Guide to the Galaxy, Dungeons and Dragons: Honor Among Thieves, Fast and the Furious and many more at our booth at Megacon, 991 Sunday from 10-2! Don’t miss out!","Feb 2, 2024 · 12:21 AM UTC",0,1,0
https://twitter.com/TheFlattmeister/status/1753211481217253566#m,I get there’s different interpretations and portrayals of King Shark but this feels like the writer was a fan of Guardians of the Galaxy and wrote him like Drax.,"Feb 2, 2024 · 12:19 AM UTC",0,0,0
https://twitter.com/FandomMade/status/1753207775843205264#m,"Get ready to fly 🚀 with style! Our new Guardians of the Galaxy - Mary Poppins Tote bag is here to save your day!   ✨Find this cosmic design and more at Fandom-Made.com, the ultimate haven for fandom fashion! Get your gear and join the galaxy's coolest squad today!","Feb 2, 2024 · 12:04 AM UTC",0,0,0
https://twitter.com/ShanoaCruz/status/1753207714845532438#m,Let's hang out with the Guardians of the Galaxy as we go on a wacky adve... https://www.youtube.com/live/PzYlmzX1GLs?si=k9v0O2b6A1a_lqf6 via @YouTube #GuardiansOfTheGalaxy,"Feb 2, 2024 · 12:04 AM UTC",0,0,0
https://twitter.com/JoshuaM80721471/status/1753207263140212903#m,"I think Deadpool 3 will be great, but it’s not going to save Marvel it’s going to be like Guardians of the Galaxy Vol.3. One of the last great superhero movies.","Feb 2, 2024 · 12:02 AM UTC",0,0,0
https://twitter.com/HappylGame/status/1753207054880116823#m,10. Marvel's Guardians of the Galaxy (2021) Desarrolladora: Eidos Montréal Distribuidora: Eidos Interactive,"Feb 2, 2024 · 12:01 AM UTC",0,0,0
https://twitter.com/alexluvsadie/status/1753206635441385944#m,life is strange (all of them) tlou part 1 and 2 hellblade twd games the wolf among us death stranding cyberpunk 2077 bg3 alan wake detroit become human guardians of the galaxy spider man 2018 and undertale,"Feb 2, 2024 · 12:00 AM UTC",0,0,0
https://twitter.com/bestscene_00/status/1753206602277306686#m,Guardians of the Galaxy- 2014  📽️ Drax vs Ronan the Accuser,"Feb 2, 2024 · 12:00 AM UTC",0,2,0
https://twitter.com/ExiledMeatball/status/1753206128261906653#m,Don't forget Guardians of the Galaxy... Such a great game,"Feb 1, 2024 · 11:58 PM UTC",1,3,0
https://twitter.com/ChrisNilsn/status/1612077423369011205#m,Marvel's Guardians Of The Galaxy All Cutscenes Full Movie - 4K Ultra HD  #Marvel #MarvelStudios #GuardiansOfTheGalaxy #GuardiansOfTheGalaxyVol3 #twitch #Twitchstreamer #YouTube #YouTuber #Gaming #Twitchstreamers #Contentcreator https://www.youtube.com/watch?v=6OLC0-wgFYI,"Jan 8, 2023 · 1:23 PM UTC",0,3,6
https://twitter.com/ChrisNilsn/status/1612852414326996992#m,Marvel's Guardians Of The Galaxy All Cutscenes Full Movie - 4K Ultra HD  #Marvel #MarvelStudios #GuardiansOfTheGalaxy #GuardiansOfTheGalaxyVol3 #twitch #Twitchstreamer #YouTube #YouTuber #Gaming #Twitchstreamers #Contentcreator https://www.youtube.com/watch?v=6OLC0-wgFYI,"Jan 10, 2023 · 4:42 PM UTC",0,4,1
https://twitter.com/Johan13580/status/1753170440527212993#m,GUARDIANS OF THE GALAXY SU FINAL ES DE LAS MÁS EMOTIVAS QUE ME HAN LLEGADO AL CORAZÓN Y DE MIS FAVORITAS LA AMO INFINITA PERO INFINITAMENTE❤️😍,"Feb 1, 2024 · 9:36 PM UTC",0,1,1
https://twitter.com/Dangerman_1973/status/1753205001168773475#m,Blame the Guardians of the Galaxy films and the MCU!,"Feb 1, 2024 · 11:53 PM UTC",0,0,0
https://twitter.com/landrgates/status/1753202046533284301#m,We rode Guardians of the Galaxy for the first time!  The best!,"Feb 1, 2024 · 11:41 PM UTC",0,1,0
https://twitter.com/LeonardYoung302/status/1753201687722885176#m,Why We Need More Black Superheroes On The Big Screen  Source: Roy Rochlin / Getty  A casual look at the last year of superhero films reveals that the genre is in desperate need of revitalization. Outside of Guardians of the Galaxy Vol. 3 and Spider-Man: … https://ift.tt/w9VylUK,"Feb 1, 2024 · 11:40 PM UTC",0,0,0
https://twitter.com/MetreSteven/status/1621479742137303040#m,Tonight I'm going to Epcot and I just got a virtual queue for the new Guardians of the Galaxy coaster. This will be my first time in it.  I've heard this coaster makes people nauseous so I'm anxious. I don't want to be the guy who gets sick on it. Let's hope for the best...,"Feb 3, 2023 · 12:04 PM UTC",16,87,3
https://twitter.com/LEScottwrites/status/1753199662717129042#m,I personally liked End Game better than Guardians of the Galaxy but havnt seen Winter Soldier. Captain America is like my least favorite of the Avengers.,"Feb 1, 2024 · 11:32 PM UTC",0,1,0
https://twitter.com/blanketbat/status/1753198832635035856#m,"Desi and I lucked out and got boarding passes for Guardians of The Galaxy Cosmic Rewind, she’s gonna hate me when she realizes what it is LMAO","Feb 1, 2024 · 11:29 PM UTC",1,6,0
https://twitter.com/adsraaf1/status/1753198672777462229#m,GUARDIANS OF THE GALAXY  Walkthrough Gameplay PART 16 https://www.youtube.com/live/fx3Ff4NGh-k?si=o2cHWGVA9qLV5mMm via @YouTube,"Feb 1, 2024 · 11:28 PM UTC",0,1,0
https://twitter.com/adsraaf/status/1753197623962415455#m,GUARDIANS OF THE GALAXY  Walkthrough Gameplay PART 16 https://www.youtube.com/live/fx3Ff4NGh-k?si=HX6FfFOI_WhIUa56 via @YouTube,"Feb 1, 2024 · 11:24 PM UTC",0,1,0
https://twitter.com/JackalsIII/status/1753197537434153006#m,Kitty will also steal his look when she's not on Earth  Guardians of the Galaxy V4 6,"Feb 1, 2024 · 11:24 PM UTC",0,0,0
https://twitter.com/TheManInYellow0/status/1753197033232761196#m,"One of the better Marvel movies, I put it at number three behind Guardians of the Galaxy 1, and at number one the Winter Solider which I feel is the best marvel movie they made and will not be topped.","Feb 1, 2024 · 11:22 PM UTC",1,2,0
https://twitter.com/peraltiagoknope/status/1753194396424560920#m,43~ Guardians of the Galaxy Vol. 3 (2023) Duración: 2h 30min Calif. Personal: ★★★★✩ (8/10),"Feb 1, 2024 · 11:11 PM UTC",1,0,0
https://twitter.com/naMnaSYt/status/1753194308465787070#m,I'm feeling a Guardians of the Galaxy replay,"Feb 1, 2024 · 11:11 PM UTC",0,0,0
